Participant,Sex,Age,AgeGroup,AcquisitionAge,Univ.ProfNativeEngSpeakerYesNo,TrainingGroup,Word,PrePosttraining,OnsetMedialCoda,TrainedNewWord,VoicedUnvoiced,Phoneme,POA,Position,tierNumber,tiermeaning,HKUNativeSoundingYesNo,RUNativeSoundingYesNo,ComprehensionPerformanceT1T2,Column1,onset,offset,midpoint,midbottom,midtop,soundname,intervalname,F0_Max,F0_Average,midF0_max,midF0_avg,First_Formant,First_Formant_mid,Second_Formant,Second_Formant_mid,Third_Formant,Third_Formant_mid,Intensity_Max,Intensity_Max_mid,Intensity_Average,Intensity_Average_mid,Mid_Duration,Duration,Dur
1404,,,University Students,,,Yes,back,pre,coda,trained,unvoiced,k,velar,vowel,1,vowel,,,, ,0.5719,0.7447,0.6583,0.6007,0.7159,1404-back-1,vowel,119.9308343,116.1981139,115.1758432,114.1279343,728.4309,719.3021006,1713.819193,1746.133119,2616.838517,2611.079241,55.26278535,55.22570972,47.3493,48.8929,0.1152,0.17281409,173
1404,,,University Students,,,Yes,back,pre,coda,trained,unvoiced,k,velar,onset,2,aspiration,,,, ,0.5584,0.5719,0.5651,0.5606,0.5696,1404-back-1,null asp,120.1321993,120.1134771,120.1321993,120.1321993,707.9655,702.2946295,1638.157245,1634.114802,2551.430754,2545.530751,54.67503783,51.72036999,51.8526,52.0402,0.009,0,0
1404,,,University Students,,,Yes,back,pre,coda,trained,unvoiced,k,velar,coda,2,aspiration,,,, ,0.7946,0.8268,0.8107,0.7999,0.8214,1404-back-1,null asp,--undefined--,--undefined--,--undefined--,--undefined--,1536.4015,1418.35624,2111.675164,2058.700746,3569.876236,3353.911739,33.57058805,33.57058805,28.8972,29.8444,0.0215,0,0
1404,,,University Students,,,Yes,back,pre,coda,trained,unvoiced,k,velar,onset,3,voicing bar,,,, ,0.5584,0.5719,0.5651,0.5606,0.5696,1404-back-1,null vbar,120.1321993,120.1134771,120.1321993,120.1321993,707.9655,702.2946295,1638.157245,1634.114802,2551.430754,2545.530751,54.67503783,51.72036999,51.8526,52.0402,0.009,0,0
1404,,,University Students,,,Yes,back,pre,coda,trained,unvoiced,k,velar,coda,3,voicing bar,,,, ,0.7946,0.8268,0.8107,0.7999,0.8214,1404-back-1,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,1536.4015,1418.35624,2111.675164,2058.700746,3569.876236,3353.911739,33.57058805,33.57058805,28.8972,29.8444,0.0215,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,back,post,coda,trained,unvoiced,k,velar,vowel,1,vowel,,,, ,0.43,0.6664,0.5482,0.4694,0.627,1404-back-2,vowel,237.6163353,223.7206452,224.1327515,211.3394716,852.8718,824.1717742,1905.258818,1935.604625,2621.827223,2570.153181,69.67111545,69.67111545,59.7941,61.2526,0.1576,0.23638868,236
1404,,, ,,,Yes,back,post,coda,trained,unvoiced,k,velar,onset,2,aspiration,,,, ,0.4119,0.43,0.4209,0.4149,0.427,1404-back-2,null asp,234.6924661,233.4192284,233.7963084,233.1023069,680.2888,694.4455294,1557.047795,1637.651636,2624.33745,2609.344895,64.89822082,64.89822082,61.7949,62.2234,0.0121,0,0
1404,,,University Students,,,Yes,back,post,coda,trained,unvoiced,k,velar,coda,2,aspiration,,,, ,0.7393,0.7816,0.7605,0.7464,0.7746,1404-back-2,null asp,--undefined--,--undefined--,--undefined--,--undefined--,782.8548,982.812257,1846.34871,1959.53979,2979.448282,2911.969929,49.83407863,48.47543864,42.2092,42.5156,0.0282,0,0
1404,,,University Students,,,Yes,back,post,coda,trained,unvoiced,k,velar,onset,3,voicing bar,,,, ,0.4119,0.43,0.4209,0.4149,0.427,1404-back-2,null vbar,234.6924661,233.4192284,233.7963084,233.1023069,680.2888,694.4455294,1557.047795,1637.651636,2624.33745,2609.344895,64.89822082,64.89822082,61.7949,62.2234,0.0121,0,0
1404,,,University Students,,,Yes,back,post,coda,trained,unvoiced,k,velar,coda,3,voicing bar,,,, ,0.7393,0.7816,0.7605,0.7464,0.7746,1404-back-2,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,782.8548,982.812257,1846.34871,1959.53979,2979.448282,2911.969929,49.83407863,48.47543864,42.2092,42.5156,0.0282,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,bat,pre,coda,trained,unvoiced,t,alveolar,vowel,1, ,,,, ,0.4644,0.6561,0.5603,0.4964,0.6241,1404-bat-1,vowel,235.2222155,162.0895596,223.9444346,132.8061802,696.0924,702.8516121,1742.474175,1756.527429,2794.436582,2726.519055,55.77463434,55.77463434,46.2966,48.6884,0.1278,0.19164696,192
1404,,,University Students,,,Yes,bat,pre,coda,trained,unvoiced,t,alveolar,onset,2, ,,,, ,0.4461,0.4644,0.4553,0.4492,0.4614,1404-bat-1,null asp,235.0606559,233.8964464,234.5080335,233.6612376,603.6282,607.0047918,1566.447095,1567.020882,2556.364952,2567.222847,54.54141516,54.54141516,51.8582,52.353,0.0122,0,0
1404,,,University Students,,,Yes,bat,pre,coda,trained,unvoiced,t,alveolar,coda,2, ,,,, ,0.7409,0.7969,0.7689,0.7503,0.7875,1404-bat-1,asp,--undefined--,--undefined--,--undefined--,--undefined--,1331.0432,1165.062874,1823.985847,1851.753309,3235.333466,3356.690402,43.23563637,40.56177652,32.0768,32.3666,0.0373,0.05592716,56
1404,,,University Students,,,Yes,bat,pre,coda,trained,unvoiced,t,alveolar,onset,3, ,,,, ,0.4461,0.4644,0.4553,0.4492,0.4614,1404-bat-1,null vbar,235.0606559,233.8964464,234.5080335,233.6612376,603.6282,607.0047918,1566.447095,1567.020882,2556.364952,2567.222847,54.54141516,54.54141516,51.8582,52.353,0.0122,0,0
1404,,,University Students,,,Yes,bat,pre,coda,trained,unvoiced,t,alveolar,coda,3, ,,,, ,0.7409,0.7969,0.7689,0.7503,0.7875,1404-bat-1,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,1331.0432,1165.062874,1823.985847,1851.753309,3235.333466,3356.690402,43.23563637,40.56177652,32.0768,32.3666,0.0373,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,bat,post,coda,trained,unvoiced,t,alveolar,vowel,1, ,,,, ,0.3945,0.6535,0.524,0.4377,0.6103,1404-bat-2,vowel,374.2983655,274.0024932,374.2983655,303.870368,762.1668,753.5431317,1845.174134,1849.349423,2810.602734,2694.235349,67.96416335,66.72753277,58.0186,59.5206,0.1727,0.25903049,259
1404,,,University Students,,,Yes,bat,post,coda,trained,unvoiced,t,alveolar,onset,2, ,,,, ,0.376,0.3945,0.3853,0.3791,0.3914,1404-bat-2,null asp,229.5919792,229.5075491,229.5139959,229.4852424,679.6496,731.9829762,1624.848617,1655.63425,2477.787753,2560.311417,64.97947886,60.95623409,59.9438,60.3268,0.0123,0,0
1404,,,University Students,,,Yes,bat,post,coda,trained,unvoiced,t,alveolar,coda,2, ,,,, ,0.7471,0.7827,0.7649,0.753,0.7768,1404-bat-2,null asp,--undefined--,--undefined--,--undefined--,--undefined--,783.1651,859.9040777,2101.637612,2138.381707,3095.665164,3195.948452,47.85889522,47.85889522,40.9526,41.2948,0.0237,0,0
1404,,,University Students,,,Yes,bat,post,coda,trained,unvoiced,t,alveolar,onset,3, ,,,, ,0.376,0.3945,0.3853,0.3791,0.3914,1404-bat-2,null vbar,229.5919792,229.5075491,229.5139959,229.4852424,679.6496,731.9829762,1624.848617,1655.63425,2477.787753,2560.311417,64.97947886,60.95623409,59.9438,60.3268,0.0123,0,0
1404,,,University Students,,,Yes,bat,post,coda,trained,unvoiced,t,alveolar,coda,3, ,,,, ,0.7471,0.7827,0.7649,0.753,0.7768,1404-bat-2,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,783.1651,859.9040777,2101.637612,2138.381707,3095.665164,3195.948452,47.85889522,47.85889522,40.9526,41.2948,0.0237,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,cap,pre,coda,new word,unvoiced,p,bilabial,vowel,1, ,,,, ,0.5058,0.5316,0.5187,0.5101,0.5273,1404-cap-1,asp,244.2162396,244.2162396,--undefined--,--undefined--,835.5438,891.2423872,2412.152675,2453.156045,2742.746399,2699.232535,45.59290953,43.27627594,42.9574,42.9043,0.0172,0.02577894,26
1404,,,University Students,,,Yes,cap,pre,coda,new word,unvoiced,p,bilabial,onset,2, ,,,, ,0.6448,0.7024,0.6736,0.6544,0.6928,1404-cap-1,null asp,--undefined--,--undefined--,--undefined--,--undefined--,751.0651,762.9755733,1767.214452,1764.446451,2627.397365,2652.107811,39.20863437,35.52177416,30.8896,30.4431,0.0384,0,0
1404,,,University Students,,,Yes,cap,pre,coda,new word,unvoiced,p,bilabial,coda,3, ,,,, ,0.5058,0.5316,0.5187,0.5101,0.5273,1404-cap-1,null vbar,244.2162396,244.2162396,--undefined--,--undefined--,835.5438,891.2423872,2412.152675,2453.156045,2742.746399,2699.232535,45.59290953,43.27627594,42.9574,42.9043,0.0172,0,0
1404,,,University Students,,,Yes,cap,pre,coda,new word,unvoiced,p,bilabial,onset,3, ,,,, ,0.6448,0.7024,0.6736,0.6544,0.6928,1404-cap-1,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,751.0651,762.9755733,1767.214452,1764.446451,2627.397365,2652.107811,39.20863437,35.52177416,30.8896,30.4431,0.0384,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,cup,pre,coda,trained,unvoiced,p,bilabial,vowel,1, ,,,, ,0.5278,0.661,0.5944,0.55,0.6388,1404-cup-1,vowel,313.8488298,181.3023165,234.7755165,155.8688069,694.5409,776.546063,1151.231335,1199.791484,2475.792916,2603.760963,53.80890149,53.80890149,45.1799,47.309,0.0888,0.13325539,133
1404,,,University Students,,,Yes,cup,pre,coda,trained,unvoiced,p,bilabial,onset,2, ,,,, ,0.4799,0.5278,0.5038,0.4879,0.5198,1404-cup-1,asp,508.6652685,486.3899736,505.8789838,500.1993568,1010.3747,1014.198353,1489.691133,1504.363449,2483.473762,2617.529142,50.52162861,50.52162861,48.1515,48.9915,0.0319,0.04787619,48
1404,,,University Students,,,Yes,cup,pre,coda,trained,unvoiced,p,bilabial,coda,2, ,,,, ,0.661,0.6945,0.6778,0.6666,0.6889,1404-cup-1,null asp,--undefined--,--undefined--,--undefined--,--undefined--,963.0435,966.6628199,2117.101515,1878.404229,3428.38199,3226.865954,27.72261647,25.69504181,25.1906,25.1197,0.0223,0,0
1404,,,University Students,,,Yes,cup,pre,coda,trained,unvoiced,p,bilabial,onset,3, ,,,, ,0.4799,0.5278,0.5038,0.4879,0.5198,1404-cup-1,null vbar,508.6652685,486.3899736,505.8789838,500.1993568,1010.3747,1014.198353,1489.691133,1504.363449,2483.473762,2617.529142,50.52162861,50.52162861,48.1515,48.9915,0.0319,0,0
1404,,,University Students,,,Yes,cup,pre,coda,trained,unvoiced,p,bilabial,coda,3, ,,,, ,0.661,0.6945,0.6778,0.6666,0.6889,1404-cup-1,null vbar,--undefined--,--undefined--,--undefined--,--undefined--,963.0435,966.6628199,2117.101515,1878.404229,3428.38199,3226.865954,27.72261647,25.69504181,25.1906,25.1197,0.0223,0,0
,,, ,,, , , , , , , , , ,, ,,,, ,,,,,, , , , , , ,, , , , , , , ,,,,,0
1404,,,University Students,,,Yes,cup,post,coda,trained,unvoiced,p,bilabial,vowel,1, ,,,, ,0.4289,0.5868,0.5079,0.4552,0.5605,1404-cup-2,vowel,259.075297,245.3444741,256.9577484,239.2500447,796.1875,757.4364029,1251.300206,1236.460144,2505.498692,2499.742912,71.06169561,71.06169561,62.1346,65.7864,0.1053,0.15792849,158
