ABV,TimeOfDay,Month,Cases,Deaths,Injuries
>0.35%,day,April,NA,NA,NA
>0.35%,day,August,1,0,1
>0.35%,day,December,2,0,2
>0.35%,day,February,NA,NA,NA
>0.35%,day,January,1,0,1
>0.35%,day,July,2,0,3
>0.35%,day,June,1,0,1
>0.35%,day,March,NA,NA,NA
>0.35%,day,May,NA,NA,NA
>0.35%,day,November,NA,NA,NA
>0.35%,day,October,5,0,6
>0.35%,day,September,1,0,1
>0.35%,night,April,2,0,3
>0.35%,night,August,NA,NA,NA
>0.35%,night,December,NA,NA,NA
>0.35%,night,February,1,0,3
>0.35%,night,January,2,0,2
>0.35%,night,July,1,0,2
>0.35%,night,June,3,0,4
>0.35%,night,March,2,0,2
>0.35%,night,May,2,0,3
>0.35%,night,November,1,0,1
>0.35%,night,October,1,0,1
>0.35%,night,September,4,1,5
0.05%~0.09%,day,April,123,2,201
0.05%~0.09%,day,August,78,8,128
0.05%~0.09%,day,December,126,2,225
0.05%~0.09%,day,February,117,3,220
0.05%~0.09%,day,January,121,2,212
0.05%~0.09%,day,July,90,3,158
0.05%~0.09%,day,June,78,4,130
0.05%~0.09%,day,March,129,5,233
0.05%~0.09%,day,May,124,2,221
0.05%~0.09%,day,November,123,6,201
0.05%~0.09%,day,October,141,9,276
0.05%~0.09%,day,September,115,7,218
0.05%~0.09%,night,April,330,6,547
0.05%~0.09%,night,August,199,9,330
0.05%~0.09%,night,December,375,7,677
0.05%~0.09%,night,February,370,7,646
0.05%~0.09%,night,January,381,13,735
0.05%~0.09%,night,July,220,5,340
0.05%~0.09%,night,June,203,12,337
0.05%~0.09%,night,March,379,11,685
0.05%~0.09%,night,May,277,6,457
0.05%~0.09%,night,November,315,11,522
0.05%~0.09%,night,October,281,12,471
0.05%~0.09%,night,September,212,6,369
0.10%~0.14%,day,April,173,0,287
0.10%~0.14%,day,August,120,3,211
0.10%~0.14%,day,December,137,2,241
0.10%~0.14%,day,February,136,1,231
0.10%~0.14%,day,January,126,1,247
0.10%~0.14%,day,July,108,3,236
0.10%~0.14%,day,June,134,1,244
0.10%~0.14%,day,March,139,1,238
0.10%~0.14%,day,May,163,0,285
0.10%~0.14%,day,November,143,4,272
0.10%~0.14%,day,October,170,4,343
